var,x,y,y_lower,y_upper
number_of_locations,101.49999999999999,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,103.50000000000001,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,104.5,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,105.49999999999999,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,106.5,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,108.5,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,110.5,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,112.5,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,114.5,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,117.5,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,121.5,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,124.50000000000001,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,128.5,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,132.5,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,135.5,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,140.5,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,145.5,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,150.5,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,157.5,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,166.5,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,179.5,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,193.0,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,219.5,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_locations,238.0,0.0008545716908761342,0.00017712319896316458,0.001532020182789104
number_of_visits,5.0,-0.0041448519309891275,-0.004335399656888871,-0.003954304205089384
number_of_visits,7.5,-0.0041448519309891275,-0.004335399656888871,-0.003954304205089384
number_of_visits,8.5,-0.0041448519309891275,-0.004335399656888871,-0.003954304205089384
number_of_visits,9.5,-0.0041448519309891275,-0.004335399656888871,-0.003954304205089384
number_of_visits,10.5,-0.0041448519309891275,-0.004335399656888871,-0.003954304205089384
number_of_visits,11.5,-0.0041448519309891275,-0.004335399656888871,-0.003954304205089384
number_of_visits,12.5,-0.0041448519309891275,-0.004335399656888871,-0.003954304205089384
number_of_visits,13.5,-0.0041448519309891275,-0.004335399656888871,-0.003954304205089384
number_of_visits,14.5,-0.0041448519309891275,-0.004335399656888871,-0.003954304205089384
number_of_visits,15.5,-0.0041448519309891275,-0.004335399656888871,-0.003954304205089384
number_of_visits,16.5,-0.004748468652586418,-0.004970677560408793,-0.0045262597447640425
number_of_visits,17.5,-0.005220457912263952,-0.005326096272223858,-0.005114819552304047
number_of_visits,18.5,-0.005220457912263952,-0.005326096272223858,-0.005114819552304047
number_of_visits,19.5,-0.005220457912263952,-0.005326096272223858,-0.005114819552304047
number_of_visits,20.5,-0.005220457912263952,-0.005326096272223858,-0.005114819552304047
number_of_visits,21.5,-0.005220457912263952,-0.005326096272223858,-0.005114819552304047
number_of_visits,22.5,-0.005220457912263952,-0.005326096272223858,-0.005114819552304047
number_of_visits,23.5,-0.005220457912263952,-0.005326096272223858,-0.005114819552304047
number_of_visits,24.5,-0.005220457912263952,-0.005326096272223858,-0.005114819552304047
number_of_visits,25.5,-0.005220457912263952,-0.005326096272223858,-0.005114819552304047
number_of_visits,26.5,-0.005220457912263952,-0.005326096272223858,-0.005114819552304047
number_of_visits,27.5,-0.005220457912263952,-0.005326096272223858,-0.005114819552304047
number_of_visits,28.5,-0.004989378115597963,-0.0053254681069589,-0.004653288124237025
number_of_visits,29.5,-0.0057226509307583455,-0.005847115669598347,-0.005598186191918344
number_of_visits,30.5,-0.0057226509307583455,-0.005847115669598347,-0.005598186191918344
number_of_visits,31.5,-0.0056820324872158285,-0.005753377785760102,-0.005610687188671555
number_of_visits,32.5,-0.0056820324872158285,-0.005753377785760102,-0.005610687188671555
number_of_visits,33.5,-0.0056820324872158285,-0.005753377785760102,-0.005610687188671555
number_of_visits,34.5,-0.004920771589113276,-0.005123711835658196,-0.004717831342568357
number_of_visits,35.5,-0.004920771589113276,-0.005123711835658196,-0.004717831342568357
number_of_visits,36.49999999999999,-0.004920771589113276,-0.005123711835658196,-0.004717831342568357
number_of_visits,37.50000000000001,-0.004920771589113276,-0.005123711835658196,-0.004717831342568357
number_of_visits,38.5,-0.004920771589113276,-0.005123711835658196,-0.004717831342568357
number_of_visits,39.49999999999999,-0.004920771589113276,-0.005123711835658196,-0.004717831342568357
number_of_visits,40.50000000000001,-0.004920771589113276,-0.005123711835658196,-0.004717831342568357
number_of_visits,41.5,-0.004920771589113276,-0.005123711835658196,-0.004717831342568357
number_of_visits,42.49999999999999,-0.004920771589113276,-0.005123711835658196,-0.004717831342568357
number_of_visits,43.50000000000001,-0.004920771589113276,-0.005123711835658196,-0.004717831342568357
number_of_visits,44.5,-0.004271811788255164,-0.004639030337483049,-0.0039045932390272785
number_of_visits,45.49999999999999,-0.00215108613561776,-0.0028996573096238074,-0.0014025149616117127
number_of_visits,46.50000000000001,-0.0013794397596889486,-0.0016686142590874573,-0.0010902652602904398
number_of_visits,47.5,-0.0013794397596889486,-0.0016686142590874573,-0.0010902652602904398
number_of_visits,48.49999999999999,-0.0013794397596889486,-0.0016686142590874573,-0.0010902652602904398
number_of_visits,49.50000000000001,-0.0013794397596889486,-0.0016686142590874573,-0.0010902652602904398
number_of_visits,50.5,-0.0009522070944577524,-0.0011360381570619245,-0.0007683760318535804
number_of_visits,51.49999999999999,-0.0009522070944577524,-0.0011360381570619245,-0.0007683760318535804
number_of_visits,52.50000000000001,-0.0009522070944577524,-0.0011360381570619245,-0.0007683760318535804
number_of_visits,53.5,-0.0009522070944577524,-0.0011360381570619245,-0.0007683760318535804
number_of_visits,54.49999999999999,-0.0009522070944577524,-0.0011360381570619245,-0.0007683760318535804
number_of_visits,55.50000000000001,-0.0009522070944577524,-0.0011360381570619245,-0.0007683760318535804
number_of_visits,56.5,-0.001051753763486367,-0.0012329940927499105,-0.0008705134342228233
number_of_visits,57.49999999999999,-0.001051753763486367,-0.0012329940927499105,-0.0008705134342228233
number_of_visits,58.50000000000001,-0.001051753763486367,-0.0012329940927499105,-0.0008705134342228233
number_of_visits,59.5,-0.001051753763486367,-0.0012329940927499105,-0.0008705134342228233
number_of_visits,60.49999999999999,-0.001051753763486367,-0.0012329940927499105,-0.0008705134342228233
number_of_visits,61.50000000000001,-0.001051753763486367,-0.0012329940927499105,-0.0008705134342228233
number_of_visits,62.5,-0.0006938243815308703,-0.0009125074371414522,-0.00047514132592028837
number_of_visits,63.49999999999999,-0.0005631942958475612,-0.0008438488708916632,-0.0002825397208034593
number_of_visits,64.5,-0.0005631942958475612,-0.0008438488708916632,-0.0002825397208034593
number_of_visits,65.5,-0.0005631942958475612,-0.0008438488708916632,-0.0002825397208034593
number_of_visits,66.5,-0.0005631942958475612,-0.0008438488708916632,-0.0002825397208034593
number_of_visits,67.5,-0.0005631942958475612,-0.0008438488708916632,-0.0002825397208034593
number_of_visits,68.5,0.0014109010792831677,0.0013513586625559701,0.0014704434960103653
number_of_visits,69.5,0.0014109010792831677,0.0013513586625559701,0.0014704434960103653
number_of_visits,70.5,0.0014109010792831677,0.0013513586625559701,0.0014704434960103653
number_of_visits,71.5,0.0014109010792831677,0.0013513586625559701,0.0014704434960103653
number_of_visits,72.5,0.0014109010792831677,0.0013513586625559701,0.0014704434960103653
number_of_visits,73.5,0.0014109010792831677,0.0013513586625559701,0.0014704434960103653
number_of_visits,74.5,0.0014109010792831677,0.0013513586625559701,0.0014704434960103653
number_of_visits,75.5,0.0014109010792831677,0.0013513586625559701,0.0014704434960103653
number_of_visits,76.5,0.0014109010792831677,0.0013513586625559701,0.0014704434960103653
number_of_visits,77.5,0.0014109010792831677,0.0013513586625559701,0.0014704434960103653
number_of_visits,78.5,0.0014109010792831677,0.0013513586625559701,0.0014704434960103653
number_of_visits,79.5,0.0014109010792831677,0.0013513586625559701,0.0014704434960103653
number_of_visits,80.5,0.0014109010792831677,0.0013513586625559701,0.0014704434960103653
number_of_visits,81.5,0.0014109010792831677,0.0013513586625559701,0.0014704434960103653
number_of_visits,82.5,0.0014109010792831677,0.0013513586625559701,0.0014704434960103653
number_of_visits,83.5,0.0014109010792831677,0.0013513586625559701,0.0014704434960103653
