class,subclass,count,category,Keep
amenity,reception_desk,14,Office,1
amenity,waste_transfer_station,14,Transportation,0
historic,Boplatsgrop,14,Historic,1
shop,auction_house,14,Financial Services,1
shop,curtain,14,Home and Living,1
shop,fashion_accessories,14,Fashion and Accessories,1
shop,ice_cream,14,Food and Drink,1
shop,party,14,Entertainment,1
shop,tiles,14,Home and Living,1
shop,window_blind,14,Home and Living,1
amenity,animal_breeding,13,Recreation,1
amenity,crematorium,13,Religious Places,1
amenity,retirement_home,13,Healthcare,1
amenity,ski_rental,13,Sports and Activities,1
craft,confectionery,13,Food and Drink,1
shop,pet_grooming,13,Health and Beauty,1
sport,boules,13,Sports and Activities,1
amenity,coworking_space,12,Office,1
amenity,gambling,12,Entertainment,1
amenity,smoking_area,12,Leisure,1
craft,key_cutter,12,Artisan Workshops,1
craft,upholsterer,12,Artisan Workshops,1
office,construction_company,12,Office,1
office,coworking,12,Office,1
shop,lottery,12,Financial Services,1
shop,pottery,12,Artisan Workshops,1
sport,10pin,12,Sports and Activities,1
amenity,spa,11,Health and Beauty,1
craft,boatbuilder,11,Artisan Workshops,1
craft,stonemason,11,Artisan Workshops,1
leisure,swimming,11,Sports and Activities,1
leisure,trampoline_park,11,Sports and Activities,1
office,moving_company,11,Home and Living,1
shop,caravan,11,Outdoor Recreation,1
shop,games,11,Entertainment,1
amenity,bicycle_wash,10,Automotive Services,1
amenity,office,10,Office,1
amenity,post_depot,10,Transportation,0
craft,beekeeper,10,Artisan Workshops,1
craft,builder,10,Artisan Workshops,1
craft,caterer,10,Food and Drink,1
craft,roofer,10,Artisan Workshops,1
craft,signmaker,10,Artisan Workshops,1
craft,tailor,10,Artisan Workshops,1
craft,window_construction,10,Artisan Workshops,1
historic,bunker,10,Historic,1
historic,shieling,10,Outdoor Recreation,1
leisure,amusement_arcade,10,Entertainment,1
leisure,nature_reserve,10,Outdoor Recreation,1
office,security,10,Emergency Services,1
shop,bookmaker,10,Shop,1
shop,collector,10,Shop,1
shop,scuba_diving,10,Sports and Activities,1
sport,motor,10,Automotive Services,1
amenity,animal_training,9,Sports and Activities,1
amenity,bulletin_board,9,Office,0
amenity,concert_hall,9,Entertainment,1
amenity,dive_centre,9,Sports and Activities,1
amenity,monastery,9,Religious Places,1
amenity,other,9,Unknown,0
historic,quarry,9,Outdoor Recreation,1
leisure,common,9,Leisure,1
shop,hairdresser_supply,9,Health and Beauty,1
shop,leather,9,Artisan Workshops,1
shop,motorcycle_repair,9,Automotive Services,1
shop,video_games,9,Entertainment,1
sport,ice_hockey,9,Sports and Activities,1
amenity,carpet_rack,8,Home and Living,1
amenity,customs,8,Transportation,0
amenity,dogwaste_basket,8,Home and Living,0
amenity,photo_booth,8,Entertainment,1
craft,jeweller,8,Fashion and Accessories,1
leisure,indoor_play,8,Entertainment,1
leisure,yes,8,Leisure,1
office,charity,8,Financial Services,1
office,harbour_master,8,Transportation,0
shop,equestrian,8,Sports and Activities,1
shop,flooring,8,Home and Living,1
shop,perfumery,8,Health and Beauty,1
shop,radiotechnics,8,Craft,1
shop,tool_hire,8,Automotive Services,1
tourism,picnic_table,8,Outdoor Recreation,1
amenity,feeding_place,7,Food and Drink,1
amenity,lifeboat,7,Emergency Services,0
amenity,watering_place,7,Outdoor Recreation,1
amenity,waxing_station,7,Automotive Services,1
emergency,assembly_point,7,Emergency Services,0
emergency,lifeguard,7,Emergency Services,0
historic,city_gate,7,Historic,1
leisure,hackerspace,7,Education,1
office,energy_supplier,7,Office,1
shop,candles,7,Craft,1
shop,gas,7,Automotive Services,1
shop,medical_supply,7,Healthcare,1
shop,security,7,Emergency Services,1
shop,snowmobile,7,Outdoor Recreation,1
sport,scuba_diving,7,Sports and Activities,1
sport,ski_jumping,7,Sports and Activities,1
amenity,animal_shelter,6,Healthcare,1
amenity,game_feeding,6,Outdoor Recreation,1
amenity,ranger_station,6,Outdoor Recreation,1
amenity,telephone,6,Office,0
amenity,training,6,Sports and Activities,1
craft,clockmaker,6,Artisan Workshops,1
craft,distillery,6,Food and Drink,1
emergency,siren,6,Emergency Services,0
historic,battlefield,6,Historic,1
historic,ship,6,Transportation,1
historic,tower,6,Historic,1
leisure,fireplace,6,Outdoor Recreation,1
office,forestry,6,Office,1
office,guide,6,Tourism,1
office,vacant,6,Office,1
shop,canoe_hire,6,Outdoor Recreation,1
shop,food,6,Food and Drink,1
shop,hearing_aids,6,Healthcare,1
shop,plant_hire,6,Automotive Services,1
shop,wine,6,Food and Drink,1
sport,climbing_adventure,6,Outdoor Recreation,1
sport,curling,6,Sports and Activities,1
sport,padel,6,Sports and Activities,1
sport,rowing,6,Sports and Activities,1
amenity,bicycle_trailer_sharing,5,Transportation,0
amenity,device_charging_station,5,Transportation,0
amenity,exhibition_centre,5,Entertainment,1
amenity,locker,5,Sports and Activities,0
amenity,mobile_library,5,Education,1
amenity,research_institute,5,Education,1
amenity,seat,5,Outdoor Recreation,1
amenity,stage,5,Entertainment,1
amenity,stripclub,5,Entertainment,1
amenity,yes,5,Unknown,0
craft,gardener,5,Artisan Workshops,1
craft,tinsmith,5,Artisan Workshops,1
emergency,no,5,Emergency Services,0
historic,Tjärdal,5,Historic,1
historic,farm,5,Outdoor Recreation,1
historic,fångstgrop,5,Historic,1
historic,railway_station,5,Transportation,0
historic,school,5,Education,1
leisure,resort,5,Leisure,1
leisure,spa,5,Health and Beauty,1
office,apartments,5,Home and Living,1
office,camping,5,Outdoor Recreation,1
office,foundation,5,Education,1
office,union,5,Office,1
shop,brewing_supplies,5,Craft,1
shop,country_store,5,Groceries and Food,1
shop,grocery,5,Groceries and Food,1
shop,herbalist,5,Health and Beauty,1
shop,household,5,Home and Living,1
shop,model,5,Fashion and Accessories,1
shop,ship_chandler,5,Craft,1
shop,spices,5,Groceries and Food,1
shop,water_sports,5,Sports and Activities,1
sport,athletics,5,Sports and Activities,1
sport,billiards,5,Sports and Activities,1
sport,free_flying,5,Outdoor Recreation,1
sport,sailing,5,Outdoor Recreation,1
sport,skateboard,5,Sports and Activities,1
sport,table_tennis,5,Sports and Activities,1
sport,yes,5,Sports and Activities,1
tourism,aquarium,5,Entertainment,1
amenity,archive,4,Education,1
amenity,car_pooling,4,Transportation,0
amenity,casino,4,Entertainment,1
amenity,closed,4,Unknown,0
amenity,clubhouse,4,Recreation,1
amenity,fixme,4,Unknown,0
amenity,internet_cafe,4,Food and Drink,1
amenity,mortuary,4,Healthcare,1
amenity,music_venue,4,Entertainment,1
amenity,reuse,4,Home and Living,1
amenity,ski_school,4,Sports and Activities,1
amenity,stables,4,Outdoor Recreation,1
amenity,vacuum_cleaner,4,Home and Living,1
craft,agricultural_engines,4,Automotive Services,1
craft,goldsmith,4,Artisan Workshops,1
craft,joiner,4,Artisan Workshops,1
craft,watchmaker,4,Artisan Workshops,1
emergency,fire_hose,4,Emergency Services,0
historic,Fångstgrop,4,Historic,1
historic,aircraft,4,Historic,1
historic,church,4,Religious Places,1
historic,palace,4,Historic,1
leisure,bleachers,4,Sports and Activities,1
leisure,wildlife_hide,4,Outdoor Recreation,1
office,auctioneer,4,Financial Services,1
office,parish,4,Religious Places,1
office,publisher,4,Office,1
office,therapist,4,Healthcare,1
office,web_design,4,Office,1
shop,accessories,4,Fashion and Accessories,1
shop,atv,4,Outdoor Recreation,1
shop,camera,4,Home and Living,1
shop,dairy,4,Groceries and Food,1
shop,frozen_food,4,Groceries and Food,1
shop,fuel,4,Automotive Services,1
shop,hobby,4,Recreation,1
shop,office_supplies,4,Office,1
shop,outpost,4,Office,1
shop,piercing,4,Health and Beauty,1
shop,ski,4,Outdoor Recreation,1
shop,storage,4,Office,1
shop,vacuum_cleaner,4,Home and Living,1
shop,wool,4,Craft,1
sport,bandy,4,Sports and Activities,1
sport,basketball,4,Sports and Activities,1
sport,martial_arts,4,Sports and Activities,1
sport,motocross,4,Sports and Activities,1
sport,survey,4,Office,1
amenity,bell,3,Religious Places,1
amenity,bicycle_pump,3,Transportation,0
amenity,biergarten,3,Food and Drink,1
amenity,bts,3,Transportation,0
amenity,elevator,3,Transportation,0
amenity,fireplace,3,Outdoor Recreation,1
amenity,first_aid,3,Healthcare,0
amenity,language_school,3,Education,1
amenity,luggage_locker,3,Transportation,0
amenity,planetarium,3,Education,1
amenity,riding_school,3,Education,1
amenity,scout_hut,3,Education,1
