d,d_grp,fd
441,"(440, 441]",0.00012219237145090722
442,"(441, 442]",0.00016405993936479164
443,"(442, 443]",0.0001237565319827877
444,"(443, 444]",0.00014978199554789752
445,"(444, 445]",0.00018029059026899956
446,"(445, 446]",0.00024900561514570624
447,"(446, 447]",0.00013918273447009893
448,"(447, 448]",0.0002103702854607761
449,"(448, 449]",0.00018030788169250876
450,"(449, 450]",0.00010081684212095209
451,"(450, 451]",0.00017126570273548597
452,"(451, 452]",0.00013614080182942638
453,"(452, 453]",0.00013634261169824614
454,"(453, 454]",0.00011439192020302913
455,"(454, 455]",0.00014450146873923352
456,"(455, 456]",9.440149841374117e-05
457,"(456, 457]",0.00010162512164591836
458,"(457, 458]",0.00011305630423054657
459,"(458, 459]",0.0001493408621285644
460,"(459, 460]",0.00017217241812949867
461,"(460, 461]",0.00020339830802792986
462,"(461, 462]",0.0002689570815113777
463,"(462, 463]",0.00023279065797114195
464,"(463, 464]",0.0001681395234058828
465,"(464, 465]",0.00020473292868868396
466,"(465, 466]",0.00014966853833350594
467,"(466, 467]",0.00023242544828566981
468,"(467, 468]",0.00021269178380588962
469,"(468, 469]",0.0002017622198948034
470,"(469, 470]",0.00011240460737887
471,"(470, 471]",0.00019742727859129561
472,"(471, 472]",0.00018533365162314068
473,"(472, 473]",0.0001524701265550208
474,"(473, 474]",0.00013280793700536393
475,"(474, 475]",0.0001751695182086303
476,"(475, 476]",0.0001788491888107022
477,"(476, 477]",0.00015484391781602026
478,"(477, 478]",0.0001766610430765431
479,"(478, 479]",0.0001452421769203878
480,"(479, 480]",0.0002501363408210219
481,"(480, 481]",0.00022244255834181367
482,"(481, 482]",0.0001773731740294447
483,"(482, 483]",0.00026027729207806155
484,"(483, 484]",0.0003207331553192522
485,"(484, 485]",0.0003200160670793432
486,"(485, 486]",0.00030028350355144694
487,"(486, 487]",0.00016699572599428438
488,"(487, 488]",0.0001127515416930572
489,"(488, 489]",0.00014317098669127537
490,"(489, 490]",0.0001052176930527456
491,"(490, 491]",0.0001858215897852676
492,"(491, 492]",0.00019711207430320987
493,"(492, 493]",0.00023804349363256165
494,"(493, 494]",0.0002626040756628747
495,"(494, 495]",0.00035641567365669765
496,"(495, 496]",0.00022551720966373999
497,"(496, 497]",0.0002583477189336772
498,"(497, 498]",0.0002582879591270069
499,"(498, 499]",0.000245437402171074
500,"(499, 500]",0.0001615472542539637
501,"(500, 501]",0.00021915776287148459
502,"(501, 502]",0.00021438829586044084
503,"(502, 503]",0.00020621348753016154
504,"(503, 504]",0.00019212033594153563
505,"(504, 505]",0.00015597924001275969
506,"(505, 506]",0.00024747771572075503
507,"(506, 507]",0.0002514320122594176
508,"(507, 508]",0.0002653079140349264
509,"(508, 509]",0.0002498726731555186
510,"(509, 510]",0.00029638269273451795
511,"(510, 511]",0.000359873336019634
512,"(511, 512]",0.0006084631090599938
513,"(512, 513]",0.0006025870173809782
514,"(513, 514]",0.0006742641316519663
515,"(514, 515]",0.0006773545854331855
516,"(515, 516]",0.00046618046786708233
517,"(516, 517]",0.0003707247467745215
518,"(517, 518]",0.0002863704755356317
519,"(518, 519]",0.00024107269604124078
520,"(519, 520]",0.00025058827530793226
521,"(520, 521]",0.00020507713403682695
522,"(521, 522]",0.0002360366940219946
523,"(522, 523]",0.00017984313751392156
524,"(523, 524]",0.00014473424618227133
525,"(524, 525]",8.361884874849942e-05
526,"(525, 526]",0.00010275751542411057
527,"(526, 527]",9.367616191953201e-05
528,"(527, 528]",8.199595144649985e-05
529,"(528, 529]",8.337227081119073e-05
530,"(529, 530]",6.930029913410275e-05
531,"(530, 531]",9.3256949749538e-05
532,"(531, 532]",9.745505051109072e-05
533,"(532, 533]",0.00011976425448073588
534,"(533, 534]",0.00017436553242592147
535,"(534, 535]",0.00010447805341448605
536,"(535, 536]",8.359253055832782e-05
537,"(536, 537]",6.49071117054943e-05
538,"(537, 538]",8.278752824202063e-05
539,"(538, 539]",5.966189471243899e-05
540,"(539, 540]",5.275570744282903e-05
541,"(540, 541]",0.00015451173048012783
542,"(541, 542]",4.646750747249968e-05
543,"(542, 543]",3.290027300227318e-05
544,"(543, 544]",3.613541690438619e-05
545,"(544, 545]",5.0186975420955037e-05
546,"(545, 546]",9.037984130202345e-05
547,"(546, 547]",6.947408989380707e-05
548,"(547, 548]",8.652528452118048e-05
549,"(548, 549]",0.00010734621438209014
550,"(549, 550]",5.575009882965191e-05
551,"(550, 551]",5.582488000529182e-05
552,"(551, 552]",7.897377489536896e-05
553,"(552, 553]",8.066082365256942e-05
554,"(553, 554]",4.9087087616877735e-05
555,"(554, 555]",2.3990844291141946e-05
556,"(555, 556]",3.7691330162622206e-05
557,"(556, 557]",4.4687311763820686e-05
558,"(557, 558]",2.9748600404997035e-05
559,"(558, 559]",2.3900211761870478e-05
560,"(559, 560]",3.8981712127797315e-05
561,"(560, 561]",5.686950305568398e-05
562,"(561, 562]",3.279256323383514e-05
563,"(562, 563]",2.651692330337623e-05
564,"(563, 564]",1.788738826449249e-05
565,"(564, 565]",3.5056017072793494e-05
566,"(565, 566]",4.32523417824437e-05
567,"(566, 567]",2.288858530834664e-05
568,"(567, 568]",3.709273481827216e-05
569,"(568, 569]",5.2687029070632144e-05
570,"(569, 570]",4.302400451747933e-05
571,"(570, 571]",3.085420356298532e-05
572,"(571, 572]",2.986985533876459e-05
573,"(572, 573]",4.653139734880869e-05
574,"(573, 574]",4.649108741297396e-05
575,"(574, 575]",5.6939322426953685e-05
576,"(575, 576]",3.696328174678584e-05
577,"(576, 577]",2.766599478468754e-05
578,"(577, 578]",3.650059100433552e-05
579,"(578, 579]",4.18219757608598e-05
580,"(579, 580]",2.085413394304621e-05
581,"(580, 581]",2.6387107931193615e-05
582,"(581, 582]",2.971068540707821e-05
583,"(582, 583]",3.0827827379716404e-05
584,"(583, 584]",1.9753975692157973e-05
585,"(584, 585]",2.0009302295564734e-05
586,"(585, 586]",2.2113441861548384e-05
587,"(586, 587]",4.179061512463415e-05
588,"(587, 588]",5.331860127660689e-05
589,"(588, 589]",1.721563144579317e-05
590,"(589, 590]",4.500729440359643e-05
591,"(590, 591]",2.9397188883341297e-05
592,"(591, 592]",3.012101500569418e-05
593,"(592, 593]",2.6071530176630467e-05
594,"(593, 594]",6.1021409142614276e-05
595,"(594, 595]",0.00010673763292676707
596,"(595, 596]",2.913497047209864e-05
597,"(596, 597]",4.69389355578762e-05
598,"(597, 598]",3.5264736708327094e-05
599,"(598, 599]",4.9294013023410874e-05
600,"(599, 600]",3.084814478821347e-05
601,"(600, 601]",4.4607617735692976e-05
602,"(601, 602]",8.535814983361538e-05
603,"(602, 603]",8.043972937731192e-05
604,"(603, 604]",3.484695165035449e-05
605,"(604, 605]",2.8768006327793774e-05
606,"(605, 606]",2.6335308978943096e-05
607,"(606, 607]",3.021774935784386e-05
608,"(607, 608]",3.0254607415727744e-05
609,"(608, 609]",3.295486615094263e-05
610,"(609, 610]",2.4672395472997297e-05
611,"(610, 611]",2.2523349168691584e-05
612,"(611, 612]",3.238163076736974e-05
613,"(612, 613]",4.247829169728164e-05
614,"(613, 614]",7.985074026480145e-05
615,"(614, 615]",8.458984161627376e-05
616,"(615, 616]",3.9819189555344714e-05
617,"(616, 617]",5.965268551253399e-05
618,"(617, 618]",3.0290848865827293e-05
619,"(618, 619]",5.5981829025876165e-05
620,"(619, 620]",0.0001081309448747413
621,"(620, 621]",7.242615444190241e-05
622,"(621, 622]",8.348806956445944e-05
623,"(622, 623]",5.737874456789722e-05
624,"(623, 624]",4.950973684524674e-05
625,"(624, 625]",4.9316671322433665e-05
626,"(625, 626]",4.32417704507301e-05
627,"(626, 627]",3.719096373443664e-05
628,"(627, 628]",5.375537218565629e-05
629,"(628, 629]",7.900409013549324e-05
