deso,pop_nse,income
0126C1550,0.2680372381691234,201.5
0126C1560,0.07070707070707072,319.0
0126C1570,0.11564625850340138,285.2
0126C1580,0.06647230320699704,339.7
0126C1590,0.12970711297071125,295.0
0127A0010,0.08575727181544635,282.0
0127A0020,0.22575155984117978,226.1
0127C1010,0.05211726384364823,283.4
0127C1020,0.08207217694994184,264.1
0127C1030,0.0944566010211525,277.8
0127C1040,0.06712564543889843,285.8
0127C1050,0.10480501392757657,300.4
0127C1060,0.07559145989613392,313.5
0127C1070,0.09102091020910208,279.5
0127C1080,0.2057380143450359,213.5
0127C1090,0.27498963085856487,192.1
0127C1100,0.19665484034465286,233.3
0127C1110,0.2594847775175644,208.5
0127C1120,0.06796727501573319,331.9
0127C1130,0.06413793103448273,311.0
0127C1140,0.08813747228381374,250.4
0127C1150,0.11376518218623477,266.7
0127C1160,0.1926841834106131,202.2
0127C1170,0.11297297297297293,273.9
0127C1180,0.14612452350698857,248.3
0127C1190,0.10081743869209814,270.1
0127C1200,0.09073987901349467,278.0
0127C1210,0.11549456832475702,266.2
0127C1220,0.11322314049586779,252.5
0127C1230,0.08318739054290714,299.5
0127C1240,0.1106094808126411,337.7
0127C1250,0.06915154487493869,320.9
0127C1260,0.05584281282316439,329.0
0127C1270,0.24857607811228644,201.7
0127C1280,0.19151590767311288,206.4
0127C1290,0.28103741496598644,184.3
0127C1300,0.33643521832498213,181.2
0127C1310,0.2684049079754601,176.8
0127C1320,0.2391513982642237,190.5
0127C1330,0.215980024968789,198.5
0127C1340,0.3203579418344519,197.4
0127C1350,0.4051230198854061,214.4
0127C1360,0.26673277144273677,184.0
0127C1370,0.36250000000000004,200.1
0127C1380,0.24218051831992848,176.9
0127C1390,0.29209621993127144,166.4
0127C1400,0.344,196.2
0127C1410,0.28166351606805295,177.8
0127C1420,0.256926952141058,167.1
0127C1430,0.1795859412614348,208.2
0127C1440,0.3352965923432899,181.6
0127C1450,0.08805970149253728,221.9
0127C1460,0.09320987654320989,211.3
0127C1470,0.29890764647467727,169.6
0127C1480,0.10263522884882104,237.4
0128A0010,0.06119475473530844,337.6
0128C1010,0.038926681783824635,364.6
0128C1020,0.057879656160458426,282.3
0128C1030,0.1465168539325843,250.6
0128C1040,0.078907435508346,268.8
0128C1050,0.0805840995132504,226.9
0128C1060,0.09891366495140075,267.6
0128C1070,0.10560000000000003,288.9
0136A0010,0.04419889502762431,254.8
0136A0020,0.07345420734542074,269.4
0136A0030,0.06177924217462938,286.1
0136B2010,0.03192046049188901,293.7
0136C1010,0.08365310821181893,268.0
0136C1020,0.07779349363507782,271.4
0136C1030,0.13249651324965128,267.2
0136C1040,0.039052762775238836,290.2
0136C1050,0.2186817983413356,253.8
0136C1060,0.0564468211527035,294.7
0136C1070,0.248435243139143,224.4
0136C1080,0.10560000000000003,268.1
0136C1090,0.3691306369130637,206.0
0136C1100,0.360552268244576,203.8
0136C1110,0.16774716369529985,235.1
0136C1120,0.3138747884940778,193.6
0136C1130,0.36929252383341693,193.1
0136C1140,0.10284810126582278,269.0
0136C1150,0.13064295485636113,247.0
0136C1160,0.09583133684714906,232.4
0136C1170,0.18832391713747643,238.7
0136C1180,0.16554578375581996,240.5
0136C1190,0.1659090909090909,239.6
0136C1200,0.17434961204929256,236.6
0136C1210,0.1451127819548872,243.3
0136C1220,0.13672154617036503,240.5
0136C1230,0.23433979269941418,221.6
0136C1240,0.3066347878063359,219.4
0136C1250,0.12505446623093686,225.2
0136C1260,0.3115823817292006,201.0
0136C1270,0.27057274522712316,215.1
0136C1280,0.26518883415435135,222.3
0136C1290,0.08753993610223643,229.7
0136C1300,0.02249134948096887,301.4
0136C1310,0.12104836530667384,310.5
0136C1320,0.11146328578975173,238.8
0136C1330,0.055837563451776595,274.5
0136C1340,0.13258983890954146,289.9
0136C1350,0.04831625183016108,307.1
0136C1360,0.04980842911877392,287.0
0136C1370,0.0357142857142857,300.4
0136C1380,0.035031847133757954,307.2
